thai_text,karen_text,pronunciation,confidence
ฉ ช,ဆ,ซะเต๊อะปี้,1.0
ถอนหญ้า,ထံၤနၢ်,แทะหน่อ,1.0
หม้ออุ่นน้ำ,သ့ၣ်လ့ၢ်ပဲာ်ထီ,เส่อเปอที,1.0
กิน,အီၣ်,เอ้าะ,1.0
สาวน้อย,မုၢ်လ့ၢ်ခမ့ၢဖံ,หมื่อเก่อนอโพ,1.0
สิทธิ,တၢ်ကျိာ်မံၤ,ต่าโจ๊ะเก่อมอ,1.0
น้ำ,ထီ,ที,1.0
นา,စီ,ซี่,1.0
ผมจะไปเรียน,အဲၣ်လံၢ်မၤလ့ၢ်,เจ่อซะแลมกโลต่า,1.0
งูเห่า,င့ၢ်စီ,หนื่อซอ,1.0
ตอนบ่าย,မုၢ်အ့ၣ်လ့ၣ်,หมื่อเม่อ,1.0
ม้า,က့ၢ်အ့ၤလ့ၢ်,เก่อเส่,1.0
ไม่สบาย,တၢးကဲဘါၣ်,เตอะ-แก-บะ,1.0
ขวา,ဆဲၤ,แชว,1.0
กี่ทอผ้า,ထံၣ်,ถ่า,1.0
คุณสบายดีไหม,နုၢ်အဲၣ်လၢအ့ၤခလီ,เบอะโอะซู่อา,1.0
พ่อบ้าน,ပာ်ဖိၣ်ပာ်ဘၣ်,ปาฟือปาก่า,1.0
หนา,ထဲၣ်,เตาะ,1.0
หลัง,ခလၢ,เคลอ,1.0
เด็กผู้หญิง,ဖံခမ့ၢဖံ,เพ้าะหมื่อโพ,1.0
นั่ง,ဆ့ၣ်နီၢ်,เช้-หน่อ,1.0
ดอย,ကံၣ်ဂ့ၤဂီၤခီၣ်,เก๊าะเจอโข่,1.0
ไปทำงาน,လဲၤမၤတၢ်,แหล่ะ-หม่า-ต้า,1.0
เนื้อดิบ,ဝံၤလီ,ซีโซ,1.0
ปาก ,ထာ်ခိၣ်,ถะ-โค้ะ,1.0
คิ้ว,မျက်ခုံး,	แมะเบอ,1.0
ตั๋ว,တူါး,ตั๋ว,1.0
ปวดฟัน,သွားကိုက်,	แมะซา,1.0
คุณนอนหลับไหม,နုၢ်အိၣ်မံၤအိၣ်ခလီ,เหนอมีเหน่อะ,1.0
ความนึกคิด,တၢ်ထံၤမ့ၢ်ဂ့ၤနၢ,ต่าโซ่ไหน่เก๊อะหน้า,1.0
สีฟ้า,လါမူခိၣ်,ลา-มู-โค้ะ,1.0
คุณสนุกไหม,နုၢ်မံၤတၢ်မီၤခလီ,เบอะต่าเมือะ,1.0
ปู,လ့ၢ်,แว่อ,1.0
ไม้ตรี,3,เผลอซิ,1.0
โค้ง,က့ၣ်,เก้ะ,1.0
ไปหาฉันไหม,လံၢ်အၢၣ်ဂၢၤခလီ,แลเออะญาเกะ,1.0
ผ่าตัด,ဖဲာ်သာ်,แผงะ-สะ,1.0
กระต่าย,ပၢးဒဲၤ,เปอะ-แด,1.0
กุน,က့ၤယါစံ,เก่อซอ,1.0
มอง,ကွၢ်,กว้า,1.0
สมุด,လံၢ်ခဲ,ลิแกะ,1.0
-ก,္ဂ,ซะ-กี๊-ซีก๋ะ,1.0
ผู้เฒ่าผู้แก่,ပာ်စ့ၢ်ပာ်ဘၣ်,ปาซะปาก่า,1.0
เป็นลม,ကါမံအူ,ซา-ปี่-น้อะ-สะ,1.0
ลม,ကၠံလီ,เก่อลี,1.0
วิ่ง,စံၣ်,จี้,1.0
ใบนัด,လံနီၣ်,หลิ-นะ,1.0
คน,ကၢၢ်ယီၤ,เก่อ-ญอ,1.0
ไม้โท,4,ฮะซิ,1.0
แคนเขาควาย,ခံာ်ဖံၣ်နၢ်နံၢ်,แควเปอะหน่าเนอ,1.0
มกราคม,တၢ်အ့လ,เต่อเล,1.0
ใบหน้า,မဲၢ်,แหม่ะ,1.0
ย่า,ဖီၢ်ပာ်,พี่ป่า,1.0
ไปจับมือ,လံၢ်သီၤ,แลซี่,1.0
หนึ่ง,1,เตอ,1.0
สีนํ้าเงิน,လါပဂါၣ်,ลา-ปก้า,1.0
กวาง,တၢ်ခါ,ตาคอ,1.0
ถุงเท้า,ခီၣ်ဖျီၣ်,ข้อ-พล้อะ,1.0
ไหว้,ဘါထီၣ်,บาเทาะ,1.0
จดจำ,တိၢ်နီၣ်,โต้-เนาะ,1.0
พฤศจิกายน,လါနံၢ်,ลานอ,1.0
รถประจำทาง,မီၢ်တီၢ်ကါသၢၤတါၣ်,หม่อ-ต่อ-กา-เซอ-ต้า,1.0
ป่าเต็งรัง,က့ၢ်ဘီ,ก่อเบ,1.0
ระยะเวลา,တၢ်ဆၢက့ၤ,ต่าเซอเก๊อะต่อ,1.0
เนื้อ,တၢ်န့ၢ်,ต่าหนู๋า,1.0
ของฉัน,တၢ်ဧၢ်/တၢ်ဘဲၣ်ဧၢ်,เจอะต่า / เบ๊อะต่า,1.0
เข้าใจ,နါၣ်ပၢၣ်,หน้ะ-เป้อะ,1.0
กำเนิด,ကဲၤထီၣ်,แก-ท้อะ,1.0
ฝีเสื้อ,လ့ၢ်က့ၢ်အ့ၤပဲာ်,เจ๊าะเก่อเปอ,1.0
กบเหลา,နီၣ်သဝဲၣ်,น้อะ-แซวะ,1.0
ด้าย,လံၢ်လီခီ,หลือเหลคี,1.0
ขยะ,ခၢ်ယၢ်,ขะ-ยะ,1.0
ไปไหน,လံၢ်ဆူၢ်ခလီ,แลซูหล่อ,1.0
สุ่มไก่,ဆူၢ်က့ၤဖလ့ၤလီ,ซอคาเพลอลอ,1.0
ในนา,စီဖံ,ซี่ปู่,1.0
กางเกง,ဖ့ၢ်လီ,ผล่อลี่,1.0
ขอโทษ,ဝါးစုၢ်,วิซะจู,1.0
กบ,ဒ့း,เด้ะ,1.0
แมว,သ့ၢ်မ့ၢ်ယုၢ်,ส่ามียอ,1.0
ฝักดาบ,န့ကဲရ့ၣ်,นะเกร้าะ,1.0
อนาคต,တၢ်ဆူၢ်ခါ,ต่าสุยา,1.0
งูดิน,င့ၢ်ဂ့ၢ်,หนื่อจิ๋ง,1.0
พี่ชาย,မံၤန့ၢ်ခီ,แหว่เก๊าะ,1.0
ยางลบ,မံၤအံၤထီၣ်,หน่อทูซึ,1.0
เรียนรู้,ဆံၤဘ့လီ,พิโลมาโล,1.0
แกง,တါၣ်သူၤ,ต้าซู,1.0
ต้นไม้,ဝံၤ / ဝံၤထံၣ်,เส่ / เส่ซู่,1.0
ตอนสาย,မုၢ်ထီ,หมื่อทอ,1.0
กลอง,ထဲၣ်,เดอ,1.0
ผักเขียว,လံၢ်ဆူၢ်,หลู่ส่า,1.0
หนังสือ,လံၢ်ပန့ၢ်,ลิพะ,1.0
ยินดีที่ได้รู้จัก,သးခုလၢသ့ၣ်ညါလီၤသး,สะ-คือ-เลอ-เซะ-ยา-ลอ-สะ,1.0
ผู้ใหญ่,ပာ်ဘီၣ်ပာ်ဘၣ်,ปาปีปาป่า,1.0
มะระ,ဆူဖ့ၢ်ဆၢ,ซอคาส่า,1.0
ทวด,ဝါ,พา,1.0
ไปกินข้าว,လံၢ်နီၢ်လံ,แลเอาะเม,1.0
หลังคา,တၢ်ခိၣ်,เด้อไข่,1.0
ตะพาบ,ကလီၤၡါ,คลิฆ่า,1.0
ดักหนู,ခီၢ်ဂ့ၤ,ซกอู้,1.0
ใบไม้,သ့ၢ်လါၣ်,เซะ-ละ,1.0
มันสำปะหลัง,န့ၢ်န့ၢ်စ့,แหน่วเส่,1.0
ตอนเย็น,မုၢ်စါက့ၤ,หมื่อซากอ,1.0
ป่าต้นน้ำ,ထီကွၢ်ကီ,ทีขัวกี,1.0
จักสาน,ထံၣ်တၢ,เทต่า,1.0
กิ่วดอย,တၢ်ဒဲ,ต่าดเด,1.0
ขา,ဃီၣ်ဒ့ၤ,เคาะ-ดึ้อ,1.0
ขับ,နီၤ,นอ,1.0
หว่านกล้าข้าว,ပၢ်ထီၣ်တၢၢ်က,พคีเต๊อะกะ,1.0
ร้านค้า,ဆဲၢ်ပူၤ,แช่-ปู่,1.0
ผม,	ချဉ်,โข่ซู,1.0
น้ำ,ထီ,ที,1.0
ฝุ่น,ဖၢၣ်က့ၤဖ့ၢၢ်,ผ่าเก่อพสื่อ,1.0
จิ้งหรีด,သ့ၣ်ကီ,เส่อกี,1.0
คุณมาจากที่ไหน,နဟဲဖဲလီၤ,เน่อ-แฮ-เพอ-หล่อ,1.0
ช้าง,ကာ်ဆီၤ,เกอะ-ชอ,1.0
ลุก,ဟိာ်ထၢၣ်,โฮ้ะ-เท้อะ,1.0
ป่าต้องห้าม,မံၤထၣ်မံၤထီၢ်,ป่าต่าดี,1.0
ฆ้อง,မီ,โม,1.0
หมาป่า,စ့ၢ်,จุ่ย,1.0
เสื้อ,ဆ့ကၤ,เช-ก่า,1.0
ป่าเต็งรัง,က့ၢ်ဘီ,ก่อเบ,1.0
หลาน,လီၢ်,ลี,1.0
สีเขียว,လါယဲ,ลาเย,1.0
ป่าสะดิ้ง,ပာ်ဒ့ဘ့,ปาเดปอ,1.0
ปลูกข้าวไร่,ကံၢ်ဂံၢ်,โกเมี้,1.0
อ่านหนังสือ,ပန့ၢ်သီ,พะหนี้,1.0
กะหล่ำปลี,ဆ့ၢ်န့ၢ်ဒ့ၢ်ဖိ,เซอะนะเดอะโพ,1.0
ญ,ဉ,หญ่าใหญ่บ่อ,1.0
ขาย,ဆါ,ชา,1.0
มะเส็ง,မုၢ်ဖိ,หมื่อโพ,1.0
หนอน,လ့ၢ်,เหล่อ,1.0
เสาวรส,သ့ၣ်ဒ့ၢ်စ့ၢ်,เส่อต่อส่า,1.0
ไปหาเธอ,လံၢ်အၢၣ်နုၢ်,แลเออะนา,1.0
ตอนเที่ยงคืน,မုၢ်ဖံးမုၢ်,พะพอหมื่อ,1.0
เก็บเกี่ยวเสร็จ,ဘှံးထုၣ်ခါ,ซี่ตี่ค่า,1.0
เข็มฉีดยา,သၢာ်လံၣ်,เสอะ-ลิ,1.0
สวัสดี,အိၣ်မုၢ်ဆိပၢၢ်,โอะ-หมื่อ-โช-เปอ,1.0
หมู่บ้าน,မံၤပူ,หยี่ปู่,1.0
ร้องเพลง,ကဲတၢ်ဆဲခီ,เก๊าะตาซะทิ,1.0
สับปะรด,န့ၢ်စ့ၢ်,แนะส่า,1.0
พระจันทร์,လီ,ลา,1.0
ที่เก็บของในครัว,မံၤခိၣ်,จอหน่อไข่,1.0
คอ,ကီာ်ဘိၤ,ก่อ-โบ,1.0
สายผูกข้อมือ,ခိၣ်တ့ၢ်,จี๋กิเด,1.0
เครื่องเขียน,တါၣ်ကဲၢာ်,ต้า-แกว่ะ,1.0
สูง / ยาว,ထီ,ทอ,1.0
ป่าซับ,ပာ်စါဖီ,ปาสว่าไข่,1.0
แนวกันไฟ,မံၢ်ဖိၣ်,เหมปิต,1.0
กระเป๋า,ထၢၣ်,เท้อะ,1.0
ไม้กวาดแข็ง,မံၤလံၢ်စ့လိၤကံၢ်,หน่อแคะเสโลก๋า,1.0
ขน,ဆူၣ်,ชุ,1.0
ดินสอ / ปากกา,လံၢ်ပူ,ลิโบ,1.0
หมวก,အ့ၤခ့ၢ်,เบ่อซือ,1.0
ครกตำพริก,န့ၢ်ဒ့ၢ်,โน่โต๋,1.0
ด,ဒ,ดาเต่อดา,1.0
ตอนเย็น,မုၢ်ဟါလီၤ,มื่อ-ฮา-หล่อ,1.0
หน้าต่าง,မီ,ป่อ,1.0
อนาคต,တၢ်ဆူၢ်ခါ,ต่าสุยา,1.0
กำลัง,ငံၣ်,หงี้,1.0
หัวใจ,သာ်,ส่ะ,1.0
ไม้กวาด,မံၤလံၢ်စ့,หน่อแคะเส่,1.0
มะเฟือง,မ့ၢ်ဖ့ၢ်စ့ၢ်,มะเปอะส่า,1.0
ผมมีพี่น้อง...,အဲၣ်ဘ့ၣ်နံၢ်ဘၣ်...,เจ่ออปอแหว่าโอะ...,1.0
ปลูกข้าวไร่,ကံၢ်ဂံၢ်,โกเมี้,1.0
เยาวชน,မုၢ်တံၢ်ဖံလ့ၢ်ဖံ,หน่อต่อแปลโพ,1.0
ยาย,ဖီၢ်မုၢ်,พี่ใหม่,1.0
หม้อ,သ့ၣ်လ့ၢ်ပဲာ်,เส่อเปอ,1.0
สวัสดีปีใหม่,နံၣ်ထီၣ်သီ,นี่-ท้อ-ซอ,1.0
เกิดขึ้น,ယူၢ်နီၤ,คื่ออ่อ,1.0
เต่า,ခလံၢ်,ขลิ,1.0
อู,ဩ,สระอู,1.0
ความรู้/ความเข้าใจ,တၢ်ဆၢဖျၢနၢ်ပဲာ်,ต่าเสญูหน้าเปอ,1.0
มะละกอ,သ့ၣ်ကံ့လီၤ,เส่อกวีลี่,1.0
ฟัง,ကနၣ်,เกอะ-น้ะ,1.0
ซัก,ဆှုၣ်တၢ်,ชงึ,1.0
ป่าต้นน้ำ,ထီကွၢ်ကီ,ทีขัวกี,1.0
ขลุ่ย,မိၣ်ကူ,ปอถู่,1.0
ลิง,တါၢ်အုာ်,ต่า-อึ,1.0
เมฆ,တၢ်ဟဲၣ်,ต่าเออะ,1.0
มะเมีย,ကီၢ်စ့ၤ,เก๊อะเส่,1.0
กางเกงใน,ဖ့ၢ်လီဖ့ၢ်ဝ,ผล่อลี่โพ,1.0
ไม่เข้าใจ,တၢ်နံၣ်ပဲာ်,เต๊อะหน้าป่อ,1.0
ของเขา,တၢ်ဟံၣ်ဧၢ်,อ๊ะต่า,1.0
แม่บ้าน,ဖံခမ့ၢပာ်ဘၣ်,เพาะหมื่อปาก่า,1.0
ต่อ,ဖ့ၢ်လ့ၢ်,เพลอ,1.0
เปิด,အိၣ်ထီၣ်,โอ่ะ-ท้อะ,1.0
เอ,ဪ,สระเอ,1.0
ขนตา,မဲာ်ခလံဆူၣ်,แหม่ะ-คลี-ชุ,1.0
เมืองเชียงใหม่,ဝ့ၢ်ဂံၢ်,แวะกี้แม,1.0
จมูก,နါာ်ဒ့ၤ,หน่ะ-เด,1.0
ห ฮ,ဟ,ยะเกลอ,1.0
ชาวกะเหรี่ยง,ကညီကလုာ် ,ปก่า-เกอ-ญอ,1.0
จักจั่น,ယဲ,เย,1.0
มา,လၢ,แฮ,1.0
คนไข้,ပါၢ်ဆါအိၣ်,ป่า-ชา-โอ้ะ,1.0
ท้ายทอย,ကီၢ်စၢၣ်ခံၤ,ก่อ-เจ้อ-คี,1.0
งาดำ,န့ၢ်,นอ,1.0
กลับบ้าน,တၢ်ခူၣ်လံၢ်,เกษุเค่อ,1.0
รู้,သ့ၣ်ယါ,เซ้ะ-ยา,1.0
ตลาด,ပှၤဆါတၢ်လီၣ်,ปง่า-ชา-ต้า-ล้อ,1.0
กระเป๋า,ထၣ်,เถ้อะ,1.0
ไถนา,ကံၢ်စဲ,แกะซี้,1.0
ที่ผ่านมา,တၢ်လံၢ်ဂၢၢ်ခီ,ต่าแลปูกริ,1.0
จักรยาน,လ့ၣ်ယီၣ်,เล้ะ-ย่อ,1.0
ปลาช่อน,န့ၢ်ဖိဖ့ၢ်စ့ၢ်,หนู๋าโพซู,1.0
เบา,ဗီၤ,พกี,1.0
จิ้งเหลน,ပှၢ်လူၢ်ဝ့ၢ်,ปี้หลุ่ว่อ,1.0
กระไกร,ထံၣ်ရိ,ทะริ,1.0
ตรง,လိၢ်,โหล่,1.0
กระดาษ,ကဒ,กะ-ดะ,1.0
หุงข้าว,မီၢ်,พอเม,1.0
พี่สาว,မံၤန့ၢ်နီၤ,แหว่น่อ,1.0
ขวา,ဆဝဲၤ,แชว,1.0
สีฟ้า,လါဝါ,ลาวา,1.0
แคนใหญ่,ခံာ်ဖၣ်ကွၢ,แควพะโคะ,1.0
หิน,ဂၠံ,เหล่อ,1.0
ตอนนี้กี่โมง,ခါနံၣ်အံၤပှဲၤနၢ်ရံၢ်လီၤ,คา-เน่-อี่-แปง่ะ-น้า-ริ้-หล่อ,1.0
เกเร,ကလိၣ်နါၣ်,หน้ะ-กโล้,1.0
ฟ้าผ่า,လီၤလ့ၣ်,ลอพละ,1.0
คิด,ဆိမိၣ်,โช-โม้ะ,1.0
หนังสือ,လံၢ်,เหล่ะ-ผะ,1.0
ผึ้ง,က့ၢ်အ့ၤ,เก่อแน,1.0
