karen_text,	thai_text,pronunciation,	confidence
နါာ်ဒ့ၤ,จมูก,หน่ะ-เด,1.0
ထာ်ခိၣ်,ปาก ,ถะ-โค้ะ,1.0
ခါး,คาง,ค้ะ,1.0
ခိၣ်,หน้าผาก,โคะ,1.0
မဲၢ်,เเก้ม,แหม่ะ,1.0
မဲၢ်,ใบหน้า,แหม่ะ,1.0
ကီာ်ဘိၤ,คอ,ก่อ-โบ,1.0
ကီၢ်စၢၣ်ခံၤ,ท้ายทอย,ก่อ-เจ้อ-คี,1.0
ဖံၤဘၣ်ခိၣ်,ไหล่,พี-บะ-โคะ,1.0
ခၣ်ဆူၣ်,หนวด,คะ-ชุ,1.0
စုၤဒုၣ်,ต้นเเขน,จือ-ดึ้อ,1.0
စုၤ,มือ,จือ,1.0
စုၤမ့း,เล็บ,จือ-เมะ,1.0
ညီၣ်ဒ့ၤ,เอว,ย่อ-เด,1.0
ဃံၤကိၣ်,สะโพก,คี-โก้,1.0
ဃီၣ်ဒ့ၤ,ขา,เคาะ-ดึ้อ,1.0
ဃီၣ်,เท้า,เคาะ-เด,1.0
စုနၢၤ,นิ้วมือ,จือ-เนอ,1.0
ဟီၣ်နၢၤ,นิ้วเท้า,เคาะ-เนอ,1.0
ခီၣ်လ့ၣ်ခိ,เข่า,เคาะ-เล่-โค้ะ,1.0
ကံၣ်ဒုာ်,น่อง,กี้-ดึ้อ,1.0
ဆူၣ်,ขน,ชุ,1.0
ခလၢ,หลัง,เคลอ,1.0
ကံၣ်လါၢ်ပူၢ်,รักเเร้,กี้-หล่ะ,1.0
ကီာ်ဃံၤ,ไหปลาร้า,ก่อ-ฮงี,1.0
မဲာ်ခလံဆူၣ်,ขนตา,แหม่ะ-คลี-ชุ,1.0
ဟၢာ်ဖၢၤ,ท้อง,ฮึ่อ-เพอ,1.0
သာ်ယါပငါၣ်,หน้าอก,สะ-ยะ-ปง้า,1.0
ဒ့,สะดือ,เด,1.0
လံာ်ဘိ,ปากกา,เล่ะ-โบ,1.0
လံာ်ဘိ,ดินสอ,เล่ะ-โบ,1.0
ယါလိာ်,ยางลบ,ยา-โล้ะ,1.0
နီၣ်ထိၣ်,ไม้บรรทัด,น้อะ-โท้ะ,1.0
လံၢ်,สมุด,เหล่ะ-แกว่ะ,1.0
လံၢ်,หนังสือ,เหล่ะ-ผะ,1.0
ခီဖံတၢၣ်,คอมพิวเตอร์,คอ-พี-เต้อะ,1.0
ခီဖံတၢၣ်,โน๊ตบุ๊ค,คอ-พี-เต้อะ,1.0
တၢၢ်ရၣ်,ครู / อาจารย์,เตอะ-ระ,1.0
ပါၢ်စိဖိ,นักเรียน / นักศึกษา,ป่ะ-โจ-โพ,1.0
သိၣ်,สอน,โซ่ะ,1.0
နီၣ်သဝဲၣ်,กบเหลา,น้อะ-แซวะ,1.0
ခိူာ်,โต๊ะ,ขุ้,1.0
ကာ်,เก้าอี้,ขะ,1.0
တါၣ်မါၢ်,งาน,ต้า-หม่า,1.0
ကဲာ်,เขียน,แกว่ะ,1.0
တါၣ်ကဲၢာ်,เครื่องเขียน,ต้า-แกว่ะ,1.0
ထၢၣ်,กระเป๋า,เท้อะ,1.0
ထာ်ရံာ်,กรรไกร,ถะ-เหริ,1.0
ကဒ,กระดาษ,กะ-ดะ,1.0
လ့ၣ်ယီၣ်,จักรยาน,เล้ะ-ย่อ,1.0
မီၢ်တီၢ်ကါ,รถยนต์,หม่อ-ต่อ-กา,1.0
မီၢ်တီၢ်ပူာ်,จักรยานยนต์                 ,หม่อ-ต่อ-ปุ,1.0
ခလံ,เรือ,คลี,1.0
ကၢာ်ဘီညူၢ်,เครื่องบิน,เกอะ-บอ-หยู่,1.0
မီၢ်တီၢ်ကါဒိၣ်,รถเมล์,หม่อ-ต่อ-กา-ผะ-โด้,1.0
မီၢ်တီၢ်ကါ,แท็กซี่,หม่อ-ต่อ-กา,1.0
ဆ့ၣ်,ซ้าย,เจ้ะ,1.0
ဆဲၤ,ขวา,แชว,1.0
လိၢ်,ตรง,โหล่,1.0
က့ၣ်,เลี้ยว,เก้ะ,1.0
မံၣ်အူကလဲၤ,ไฟจราจร,มิ-อู-แกล,1.0
ယ့သါ,ตำรวจ,เย-ซา,1.0
လ့ာ်နီကါ,ใบขับขี่,เหล่ะ-นอ-กา,1.0
တူါး,ตั๋ว,ตั๋ว,1.0
မီၢ်တီၢ်ကါသၢၤတါၣ်,รถประจำทาง,หม่อ-ต่อ-กา-เซอ-ต้า,1.0
ကါဖာ်ထီ,รถไฟ,กา-ผะ-ทอ,1.0
ကါမံအူ,รถไฟฟ้า,กา-มิ-อู,1.0
က့ၣ်,โค้ง,เก้ะ,1.0
ငီၢ်,สีเเดง,หง่อ,1.0
ဘီၤ,สีเหลือง,บอ,1.0
သာ်ယါ,สัญญาณ,ส่า-ยา,1.0
ဟာ်,เดิน,ฮ่ะ,1.0
စံၣ်,วิ่ง,จี้,1.0
လါ,สีเขียว,ลา,1.0
ဂီၢ်,สีเเดง,หง่อ,1.0
ဘီၤ,สีเหลือง,บอ,1.0
လါမူခိၣ်,สีฟ้า,ลา-มู-โค้ะ,1.0
လါပဂါၣ်,สีนํ้าเงิน,ลา-ปก้า,1.0
လု,สีม่วง,หลึ,1.0
ဂီၢ်ဘီၣ်,สีชมพู,หง่อ-เบ้าะ,1.0
ဃာ်,สีนํ้ํ้าตาล,ฆย่ะ-หง่อ,1.0
ထူၤ,สีทอง,ทู,1.0
သူ,สีดำ,ซู,1.0
ဝါ,สีขาว,วา,1.0
မီာ်,หมอ,เหมาะ,1.0
ပါၢ်ဆါအိၣ်,คนไข้,ป่า-ชา-โอ้ะ,1.0
ဆါ,เจ็บ,ชา,1.0
ဆါ,ปวด,ชา,1.0
ဆူၣ်,รุนเเรง,ชุ,1.0
မီၢ်တၢ်ကါဆ့ယိၣ်,รถพยาบาล,หม่อ-ต่อ-กา-เช-โย่,1.0
လီၣ်မံ,เตียง,ล้อ-มี,1.0
လိၢ်ကိၣ်,ไข้,โหล่-โก้,1.0
တၢာ်သံၣ်,ยา,เต่อะ-ซิ,1.0
ကဝါၣ်,ตรวจ,กว้า,1.0
ဆဲာ်တၢၢ်သံၣ်,ฉีดยา,แช่ะ-เตอะ-ซิ,1.0
သၢာ်လံၣ်,เข็มฉีดยา,เสอะ-ลิ,1.0
ဖဲာ်သာ်,ผ่าตัด,แผงะ-สะ,1.0
ကဝါၣ်ကဲၤ,รักษา,กว้า-แชว,1.0
ကၢာ်သါ,หายใจ,เกอะ-ซา,1.0
သာ်,หัวใจ,ส่ะ,1.0
ဟိာ်ထၢး,ฟื้น,โฮ่ะ-เท้อะ,1.0
ကါမံအူ,เป็นลม,ซา-ปี่-น้อะ-สะ,1.0
ကါမံအူ,สลบ,ซา-ปี่-น้อะ-สะ,1.0
ဟၢးဖၢၤဆါ,ปวดท้อง,เฮอะ-เพอ-ชา,1.0
တၢးကဲဘါၣ်,ไม่สบาย,เตอะ-แก-บะ,1.0
လံနီၣ်,ใบนัด,หลิ-นะ,1.0
သာ်ဝံၣ်တါၣ်,ร้องเพลง,สะ-วิ-ต้า,1.0
ပှ့ၤ,ซื้อ,เปง่,1.0
ဆါ,ขาย,ชา,1.0
လီၤဃံၢ်,ลื่นล้ม,หล่อ-ฆงี้,1.0
သ့ဃၢၤ,ล้าง,เซ-เฆง่อ,1.0
ဆှုၣ်တၢ်,ซัก,ชงึ,1.0
နီၤ,ขับ,นอ,1.0
ဆ့ၣ်နီၢ်,นั่ง,เช้-หน่อ,1.0
ဟိာ်ထၢၣ်,ลุก,โฮ้ะ-เท้อะ,1.0
ဆ့ထၢၣ်,ยืน,เช-เท้อะ,1.0
ပာ်လီၢ်,วาง,ป่ะ-หล่อ,1.0
နါၣ်ပၢၣ်,เข้าใจ,หน้ะ-เป้อะ,1.0
ဟ့ၣ်,ให้,เฮ้ะ,1.0
ဟံန့ၣ်,รับ,ฮี-เน้,1.0
သ့ၣ်ယါ,รู้,เซ้ะ-ยา,1.0
အိၣ်,มี,โอ้ะ,1.0
ထံၣ်,เห็น,ที้,1.0
1,หนึ่ง,เตอ,1.0
2,สอง,คี,1.0
3,สาม,เซอ,1.0
4,สี่,ลุ้ย,1.0
5,ห้า,แย้ะ,1.0
6,หก,คงือ,1.0
7,เจ็ด,นุย,1.0
8,เเปด,เคงาะ,1.0
9,เก้า,คุย,1.0
0,สิบ,เตอะ-ชี,1.0
အိၣ်မုၢ်ဆိပၢၢ်,สวัสดี,โอะ-หมื่อ-โช-เปอ,1.0
တၢ်ဘျုး,ขอบคุณ,ต้า-บลึ,1.0
ဝံသးစူၤ,ขอโทษ,วี-สะ-จู่,1.0
တနံၤညါ,วันนี้,เต่อะ-หนี่-ยา,1.0
လၢဂီၤ,พรุ่งนี้,เลอ-หง่อ,1.0
မဟါ,เมื่อวาน,เหม่อ-ฮา,1.0
ခဲတဂီၤ,มะรืน,แค-เตอะ-หง่อ,1.0
လါ,เดือน,ลา,1.0
နံၣ်,ปี,นี่,1.0
နံၣ်ထီၣ်သီ,สวัสดีปีใหม่,นี่-ท้อ-ซอ,1.0
တနံၤညါမုၢ်နံၤဂ့ၤ,วันนี้อากาศดีจัง,เต่อะ-หนี่-ยา-หมื่อ-เหง่,1.0
မနၤမိၣ်ခိၣ်စူၤဒိၣ်,เมื่อคืนฝนตกหนัก,เหม่อะ-หน่า-โม้ะ-โค้ะ-จู่-โด้ะ,1.0
မၤမတၤဒုလီၤ,ทำอะไรอยู่,หม่า-เหม่อ-ต่า-ดือ-เหลาะ,1.0
အီၣ်မ့ၤလံဟၤ,กินข้าวหรือยัง,เอ้าะ-เหม่-ลี-อา,1.0
အီၣ်လံ,กินเเล้ว,เอ้าะ-ลี,1.0
ယအိၣ်ဆူၣ်အိၣ်ချ့,ฉันสบายดี,เหย่อ-โอ้ะ-ชุ-โอ้ะ-เคล,1.0
သးခုလၢသ့ၣ်ညါလီၤသး,ยินดีที่ได้รู้จัก,สะ-คือ-เล-เซะ-ยา-ลอ-สะ,1.0
နဒီပုၢ်ဝဲၢ်အိၣ်ပှဲၤဂၤလီၤ,คุณมีพี่น้องกี่คน,เหน่อ-ดอ-ปื้อ-แหว้-โอ้ะ-แปง่ะ-หง่า-หล่อ,1.0
ယဒီပုၢ်ဝဲၢ်အိၢ်ခံဂၤ,ฉันมีพี่น้อง...คน,เหย่อะ-ดอ-ปื้อ-แหว้-โอ้ะ ... หง่า,1.0
တနံၣ်ညါအံၤနဂ့ၢ်လံးဧၤ,วันนี้คุณมีเรียนไหม,เต่อะ-หนี่-ยา-อี่-เน่อ-เหง้-เหล่ะ-อ๋อ,1.0
ခါနံၣ်အံၤပှဲၤနၢ်ရံၢ်လီၤ,ตอนนี้กี่โมง,คา-เน่-อี่-แปง่ะ-น้า-ริ้-หล่อ,1.0
နကအီၣ်မဒုလီၤ,คุณจะกินอะไร,เหน่อ-เก่อะ-อ้อ-เหม่อ-ดือ-หล่อ,1.0
လဲၤပှ့ၤတၢ်,ไปซื้อของ,แหล่-เปง่-ต้า,1.0
ပှၤဆါတၢ်လီၣ်,ตลาด,ปก่า-ชา-ต้า-ล้อ,1.0
ဆဲၢ်ပူၤ,ร้านค้า,แช่ะ-ปู่,1.0
လဲၤအိၣ်မီး,ไปหาหมอ,แหล่-โอ้ะ-เหมาะ,1.0
လဲၤမၤတၢ်,ไปทำงาน,แหล่ะ-หม่า-ต้า,1.0
က့ၤလၢဟံၣ်,กลับบ้าน,เก่-เลอ-ฮี้,1.0
နမံၤစါလီၤ,คุณชื่ออะไร,เหน่อ-หมี่-จา-หล่อ,1.0
ယၤမံၤ,ฉันชื่อ...,เหย่อ-หมี่,1.0
နဟဲဖဲလီၤ,คุณมาจากที่ไหน,เน่อ-แฮ-เพอ-หล่อ,1.0
ယဟဲလၢ,ฉันมาจาก...,เหย่อ-แฮ-เลอ...,1.0
ထံၣ်လီၤသးလၢသီနီၢ်,แล้วเจอกันใหม่,ที้-หล่อ-สะ-เลอ-ซอ-หนอ,1.0
ထံၣ်လီၤသးလၢသီနီၢ်,ลาก่อน,ที้-หล่อ-สะ-เลอ-ซอ-หนอ,1.0
တၢ်ဆဲၢ်အံၤဆါမဒုလီၤစ့ၢ်,ร้านนี้ขายอะไรบ้าง,ต้า-แช่-อี่-ชา-เหม่อ-ดือ-หล่อ-เจ้,1.0
တၢ်တမွိအံၤပှ့ၤစါလီၤစ့ၢ်,อันนี้ราคาเท่าไหร่,ต้า-เตอะ-มโย-อี่-เปง่-จา-หล่อ,1.0
